location,owner,pasture,quadrat,square,species
egsel,boldoo,hay,3,18,G1
egsel,boldoo,hay,3,18,P32
egsel,boldoo,hay,3,18,P21
egsel,boldoo,hay,3,18,F15
egsel,boldoo,hay,3,18,F25
egsel,boldoo,hay,3,19,P21
egsel,boldoo,hay,3,19,F25
egsel,boldoo,hay,3,19,G1
egsel,boldoo,hay,3,19,G2
egsel,boldoo,hay,3,19,G4
egsel,boldoo,hay,3,19,P32
egsel,boldoo,hay,3,20,G2
egsel,boldoo,hay,3,20,G1
egsel,boldoo,hay,3,20,P39
egsel,boldoo,hay,3,20,P32
