creator,version,href,ns1:text,ns1:time,ns1:name,ns3:DisplayColor,ns2:Distance,lat,lon,ns1:ele,ns1:time2
,,,,,,,,49.43734786,103.5840913,,
,,,,,,,,49.4373704,103.5847717,,
,,,,,,,,49.43742271,103.5855582,,
,,,,,,,,49.43753075,103.5863444,,
,,,,,,,,49.4376983,103.587109,,
,,,,,,,,49.43791573,103.5877995,,
,,,,,,,,49.43806032,103.5884594,,
,,,,,,,,49.43817062,103.5891726,,
,,,,,,,,49.43833834,103.5898049,,
,,,,,,,,49.43855535,103.5904848,,
,,,,,,,,49.43861998,103.5911775,,
,,,,,,,,49.43873171,103.5919456,,
,,,,,,,,49.43857555,103.5925488,,
,,,,,,,,49.43822251,103.5929621,,
,,,,,,,,49.43779696,103.5931797,,
,,,,,,,,49.43734668,103.5932153,,
,,,,,,,,49.43703094,103.5927078,,
,,,,,,,,49.43683002,103.5921213,,
,,,,,,,,49.43690722,103.5914368,,
,,,,,,,,49.43704569,103.5907274,,
,,,,,,,,49.43705793,103.5899969,,
,,,,,,,,49.43696505,103.5893048,,
,,,,,,,,49.43682969,103.5886366,,
,,,,,,,,49.43667755,103.5879337,,
,,,,,,,,49.43651645,103.5872651,,
,,,,,,,,49.43636114,103.5865877,,
,,,,,,,,49.43624295,103.5858954,,
,,,,,,,,49.43614589,103.585211,,
,,,,,,,,49.43645753,103.5847956,,
,,,,,,,,49.4369187,103.5845312,,
,,,,,,,,49.43733688,103.5842542,,
