creator,version,href,ns1:text,ns1:time,ns1:name,ns3:DisplayColor,ns2:Distance,lat,lon,ns1:ele,ns1:time2
,,,,,,,,49.43694896,103.5755229,,
,,,,,,,,49.43660941,103.5750001,,
,,,,,,,,49.43625796,103.5745203,,
,,,,,,,,49.43586669,103.5741144,,
,,,,,,,,49.43544458,103.5738291,,
,,,,,,,,49.43496949,103.5737441,,
,,,,,,,,49.43455995,103.5733948,,
,,,,,,,,49.43425016,103.5728359,,
,,,,,,,,49.43409819,103.5721986,,
,,,,,,,,49.43366988,103.5717629,,
,,,,,,,,49.43322496,103.5717635,,
,,,,,,,,49.43288676,103.5723591,,
,,,,,,,,49.43272037,103.5730808,,
,,,,,,,,49.43276094,103.5738319,,
,,,,,,,,49.43270319,103.5745471,,
,,,,,,,,49.43273689,103.5751921,,
,,,,,,,,49.43288474,103.5759183,,
,,,,,,,,49.43324248,103.576462,,
,,,,,,,,49.43318163,103.5772005,,
,,,,,,,,49.43320745,103.577958,,
,,,,,,,,49.43335807,103.5786598,,
,,,,,,,,49.43364146,103.5792883,,
,,,,,,,,49.43397054,103.5798317,,
,,,,,,,,49.43426323,103.5803908,,
,,,,,,,,49.43454931,103.5810157,,
,,,,,,,,49.43484066,103.5815567,,
,,,,,,,,49.43513369,103.5820883,,
,,,,,,,,49.43549353,103.5826077,,
,,,,,,,,49.43564532,103.5832865,,
,,,,,,,,49.43584884,103.5839923,,
,,,,,,,,49.4361557,103.5845278,,
,,,,,,,,49.43661427,103.5845954,,
,,,,,,,,49.43707176,103.584293,,
,,,,,,,,49.43752086,103.584073,,
,,,,,,,,49.43799636,103.5838631,,
,,,,,,,,49.43845217,103.5836733,,
,,,,,,,,49.43892147,103.5835342,,
,,,,,,,,49.43937435,103.5833971,,
,,,,,,,,49.43982739,103.583333,,
,,,,,,,,49.44024766,103.5831848,,
,,,,,,,,49.44068628,103.5829854,,
,,,,,,,,49.44112323,103.5826862,,
,,,,,,,,49.4415124,103.5823112,,
,,,,,,,,49.44187123,103.5818528,,
,,,,,,,,49.44217348,103.5812486,,
,,,,,,,,49.44220291,103.5805266,,
,,,,,,,,49.44190359,103.5799346,,
,,,,,,,,49.44154199,103.5794831,,
,,,,,,,,49.44114972,103.579091,,
,,,,,,,,49.44075535,103.578695,,
,,,,,,,,49.44035755,103.57833,,
,,,,,,,,49.43999478,103.5779011,,
,,,,,,,,49.43958155,103.5775933,,
,,,,,,,,49.43921316,103.5771342,,
,,,,,,,,49.43882165,103.5767537,,
,,,,,,,,49.43844086,103.5763371,,
,,,,,,,,49.43804925,103.5759132,,
,,,,,,,,49.43757936,103.5757001,,
,,,,,,,,49.43710553,103.5755014,,
