creator,version,href,ns1:text,ns1:time,ns1:name,ns3:DisplayColor,ns2:Distance,lat,lon,ns1:ele,ns1:time2
,,,,,,,,49.43969638,103.5833846,,
,,,,,,,,49.4401117,103.5837376,,
,,,,,,,,49.44027624,103.584442,,
,,,,,,,,49.44058369,103.5849147,,
,,,,,,,,49.44100706,103.5851529,,
,,,,,,,,49.4412617,103.5857727,,
,,,,,,,,49.44139346,103.5864589,,
,,,,,,,,49.44134183,103.5871774,,
,,,,,,,,49.44110471,103.5878275,,
,,,,,,,,49.4408162,103.5884083,,
,,,,,,,,49.440652,103.5881046,,
,,,,,,,,49.44051211,103.587435,,
,,,,,,,,49.44035495,103.5867309,,
,,,,,,,,49.44021723,103.586064,,
,,,,,,,,49.4400853,103.5853752,,
,,,,,,,,49.43995287,103.5847151,,
,,,,,,,,49.43984038,103.5839921,,
,,,,,,,,49.43964559,103.5833678,,
